                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,F1-score
1,1.5403,2.0843,1.7254,0.65603,0.65101,0.67306,0.30256,1.6696,3.7768,1.842,0.00020004,0.00020004,0.00020004,,0.65351036
2,1.3862,1.4264,1.6276,0.58224,0.66458,0.63388,0.27723,1.8466,9.0927,2.3085,0.0004085,0.0004085,0.0004085,,0.620691133
3,1.3615,1.2325,1.6099,0.38728,0.7038,0.35431,0.15287,1.9922,19.113,2.6436,0.00060837,0.00060837,0.00060837,,0.499629109
4,1.5073,1.2851,1.74,0.25934,0.68789,0.39266,0.16262,2.0742,24.367,3.2637,0.00079967,0.00079967,0.00079967,,0.376671754
5,1.48,1.2305,1.707,0.44541,0.45603,0.37356,0.16363,2.1252,5.7978,2.6469,0.00098238,0.00098238,0.00098238,,0.450657442
6,1.5032,1.2854,1.7337,0.52581,0.13742,0.06458,0.02329,3.3146,8.4058,4.5696,0.0011565,0.0011565,0.0011565,,0.217893672
7,1.575,1.2774,1.8003,0.54763,0.37073,0.20793,0.07777,2.3634,7.2714,3.2137,0.0013221,0.0013221,0.0013221,,0.442142232
8,1.5659,1.349,1.778,0.18431,0.27795,0.0582,0.01757,2.9696,35.088,4.383,0.001436,0.001436,0.001436,,0.221645673
9,1.5379,1.2676,1.7401,0.07646,0.06522,0.02356,0.00522,3.166,6.526,3.9619,0.0014029,0.0014029,0.0014029,,0.070394145
10,1.4935,1.2895,1.7043,0.29354,0.43372,0.24744,0.06872,2.6071,2.9336,3.179,0.0013699,0.0013699,0.0013699,,0.350120091
11,1.4853,1.2316,1.6982,0.37434,0.53712,0.44579,0.19811,2.0788,3.273,2.7234,0.0013369,0.0013369,0.0013369,,0.441194349
12,1.4423,1.1456,1.6442,0.54424,0.55978,0.54776,0.27571,1.8636,2.7134,2.6719,0.0013039,0.0013039,0.0013039,,0.551900631
13,1.479,1.1289,1.6719,0.50228,0.33949,0.3935,0.15678,2.2509,2.7859,2.8435,0.0012709,0.0012709,0.0012709,,0.405144011
14,1.4431,1.076,1.6897,0.62504,0.64907,0.66985,0.28934,1.9644,1.7328,2.4312,0.0012379,0.0012379,0.0012379,,0.636828394
15,1.4009,0.99837,1.6211,0.53538,0.77196,0.64396,0.33836,1.7315,1.7509,2.2365,0.0012049,0.0012049,0.0012049,,0.632263902
16,1.474,1.1035,1.6968,0.77189,0.77226,0.81308,0.45275,1.5305,1.539,1.9895,0.0011719,0.0011719,0.0011719,,0.772074956
17,1.3759,1.0714,1.633,0.80973,0.75078,0.79244,0.40067,1.6597,1.5226,2.0532,0.0011389,0.0011389,0.0011389,,0.779141549
18,1.3265,0.9527,1.5652,0.795,0.74922,0.82372,0.3822,1.7884,1.4132,2.2972,0.0011059,0.0011059,0.0011059,,0.771431402
19,1.2954,0.92249,1.5521,0.78322,0.8486,0.87881,0.43876,1.6485,1.4022,2.1429,0.0010729,0.0010729,0.0010729,,0.814600252
20,1.3923,1.0513,1.65,0.84096,0.84296,0.89715,0.44375,1.6358,1.3629,2.1958,0.0010399,0.0010399,0.0010399,,0.841958812
21,1.3561,0.98873,1.6364,0.88902,0.83824,0.90168,0.49032,1.5446,1.1197,1.9879,0.0010069,0.0010069,0.0010069,,0.862883555
22,1.334,0.96281,1.5786,0.86528,0.77989,0.85618,0.49502,1.5697,1.1583,1.9982,0.00097386,0.00097386,0.00097386,,0.820368982
23,1.2543,0.88303,1.5325,0.87905,0.81461,0.89507,0.4674,1.651,1.0395,2.1488,0.00094085,0.00094085,0.00094085,,0.845604101
24,1.3062,0.89521,1.5983,0.82241,0.84256,0.8776,0.45977,1.62,1.1643,2.0438,0.00090785,0.00090785,0.00090785,,0.832363069
25,1.244,0.88652,1.5349,0.86259,0.7764,0.87748,0.49984,1.5226,1.1495,1.9863,0.00087484,0.00087484,0.00087484,,0.817228752
26,1.2629,0.84854,1.5111,0.91322,0.86501,0.91701,0.56645,1.4981,0.9407,1.862,0.00084184,0.00084184,0.00084184,,0.888461484
27,1.1956,0.80488,1.4868,0.70131,0.82879,0.81033,0.48626,1.4817,1.0834,1.8907,0.00080883,0.00080883,0.00080883,,0.759739514
28,1.2433,0.88905,1.5374,0.92137,0.85947,0.91899,0.55477,1.488,0.87424,1.8375,0.00077582,0.00077582,0.00077582,,0.889344213
29,1.2018,0.78632,1.4705,0.87216,0.89684,0.91755,0.5656,1.4172,0.89052,1.8228,0.00074282,0.00074282,0.00074282,,0.88432784
30,1.1693,0.7682,1.4716,0.89946,0.86266,0.92016,0.586,1.3699,0.87353,1.7694,0.00070981,0.00070981,0.00070981,,0.880675736
31,1.1644,0.79729,1.4615,0.87349,0.88978,0.92045,0.57668,1.3828,0.82226,1.742,0.0006768,0.0006768,0.0006768,,0.881559752
32,1.1707,0.75317,1.4484,0.91383,0.85016,0.92329,0.54017,1.4692,0.86217,1.9217,0.0006438,0.0006438,0.0006438,,0.880845938
33,1.1712,0.7292,1.4206,0.94854,0.89361,0.95164,0.59995,1.3871,0.79814,1.8133,0.00061079,0.00061079,0.00061079,,0.920256037
34,1.1294,0.71725,1.4175,0.94642,0.90113,0.94871,0.57135,1.4137,0.83278,1.8379,0.00057778,0.00057778,0.00057778,,0.923219891
35,1.1397,0.74411,1.4594,0.91108,0.90606,0.94092,0.57947,1.3984,0.83107,1.843,0.00054478,0.00054478,0.00054478,,0.908563066
36,1.097,0.69026,1.3825,0.91893,0.9243,0.95247,0.59123,1.3648,0.78726,1.8124,0.00051177,0.00051177,0.00051177,,0.921607178
37,1.1169,0.66767,1.4004,0.96271,0.88181,0.94008,0.57478,1.4056,0.76992,1.856,0.00047876,0.00047876,0.00047876,,0.920485877
