                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1-score
1,1.4649,2.8104,1.5134,0.00632,0.98913,0.43933,0.23054,1.312,2.8861,1.3309,0.00020004,0.00020004,0.00020004,0.01255975
2,1.3859,1.8881,1.4544,0.94604,0.17971,0.45365,0.27724,1.3669,2.5914,1.3941,0.0004085,0.0004085,0.0004085,0.302043701
3,1.335,1.4933,1.4569,0.88043,0.31522,0.51157,0.28092,1.5,2.3562,1.5611,0.00060837,0.00060837,0.00060837,0.464231413
4,1.3283,1.3909,1.4636,0.83782,0.39674,0.53372,0.29868,1.5945,2.0343,1.6818,0.00079967,0.00079967,0.00079967,0.538486111
5,1.3901,1.3313,1.4854,0.90124,0.375,0.57819,0.33903,1.5594,2.085,1.6705,0.00098238,0.00098238,0.00098238,0.529626089
6,1.3583,1.3448,1.4899,0.54313,0.67416,0.66905,0.38266,1.5743,2.0146,1.7106,0.0011565,0.0011565,0.0011565,0.601592917
7,1.3576,1.2986,1.4559,0.60184,0.54697,0.57945,0.32464,1.6047,2.0947,1.6918,0.0013221,0.0013221,0.0013221,0.573094637
8,1.4062,1.3111,1.4725,0.80146,0.72335,0.764,0.39672,1.6763,1.435,1.7796,0.001436,0.001436,0.001436,0.760404366
9,1.3561,1.2578,1.4462,0.78019,0.84035,0.85529,0.48149,1.4381,1.2967,1.5175,0.0014029,0.0014029,0.0014029,0.809153327
10,1.3521,1.251,1.424,0.77374,0.72052,0.78902,0.38904,1.667,1.479,1.6921,0.0013699,0.0013699,0.0013699,0.74618225
11,1.3468,1.2199,1.4185,0.82897,0.70268,0.78193,0.4491,1.4785,1.5281,1.5349,0.0013369,0.0013369,0.0013369,0.76061847
12,1.263,1.1421,1.3654,0.69078,0.62213,0.60696,0.30504,1.7743,1.7353,1.8709,0.0013039,0.0013039,0.0013039,0.6546602
13,1.2867,1.1194,1.3584,0.45688,0.61799,0.45935,0.23507,1.6776,1.873,1.788,0.0012709,0.0012709,0.0012709,0.525360781
14,1.3015,1.0977,1.4025,0.68699,0.75387,0.71923,0.38185,1.5863,1.3758,1.6358,0.0012379,0.0012379,0.0012379,0.718877825
15,1.307,1.073,1.3784,0.6715,0.75897,0.76612,0.43727,1.5757,1.3636,1.6211,0.0012049,0.0012049,0.0012049,0.712560704
16,1.2807,1.1149,1.3653,0.77628,0.86028,0.76828,0.42546,1.5541,1.2323,1.5808,0.0011719,0.0011719,0.0011719,0.816124259
17,1.241,1.071,1.3475,0.76012,0.83307,0.88533,0.47935,1.4888,1.2234,1.5518,0.0011389,0.0011389,0.0011389,0.794924859
18,1.2103,0.99294,1.3166,0.78342,0.77308,0.88427,0.48069,1.5006,1.2587,1.5235,0.0011059,0.0011059,0.0011059,0.778215655
19,1.1976,0.99335,1.3038,0.8384,0.85986,0.91753,0.53078,1.3638,1.1195,1.4407,0.0010729,0.0010729,0.0010729,0.848994411
20,1.2412,1.0527,1.3373,0.9505,0.86135,0.94113,0.58377,1.3511,1.0216,1.419,0.0010399,0.0010399,0.0010399,0.903731738
21,1.2114,1.0057,1.3374,0.94082,0.827,0.93848,0.56672,1.4163,1.1333,1.5147,0.0010069,0.0010069,0.0010069,0.880245885
22,1.237,1.01,1.346,0.94346,0.87185,0.93112,0.59359,1.3687,1.1569,1.5042,0.00097386,0.00097386,0.00097386,0.906242571
23,1.1398,0.92023,1.2807,0.9049,0.8499,0.91018,0.58141,1.3578,1.2036,1.463,0.00094085,0.00094085,0.00094085,0.876538078
24,1.179,0.91647,1.3069,0.97554,0.87054,0.92772,0.58807,1.3596,1.0113,1.4483,0.00090785,0.00090785,0.00090785,0.920053943
