                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,F1-score
1,1.6294,2.1098,1.6262,0.84991,0.5396,0.63336,0.33091,1.6471,2.0503,1.6413,0.00020004,0.00020004,0.00020004,,0.660105269
2,1.3738,1.3849,1.4409,0.87402,0.84969,0.87009,0.49752,1.5071,1.2237,1.4896,0.0004085,0.0004085,0.0004085,,0.861683292
3,1.3677,1.2078,1.4125,0.53891,0.67469,0.64465,0.36079,1.7113,3.7346,1.7524,0.00060837,0.00060837,0.00060837,,0.599204331
4,1.3626,1.1636,1.4425,0.69716,0.72904,0.76729,0.45244,1.575,2.0067,1.6115,0.00079967,0.00079967,0.00079967,,0.712743691
5,1.3757,1.1668,1.4953,0.80558,0.76185,0.80483,0.43987,1.7042,2.1238,1.7851,0.00098238,0.00098238,0.00098238,,0.783104985
6,1.4336,1.1643,1.4968,0.40286,0.50827,0.45326,0.19436,2.2091,3.781,2.3522,0.0011565,0.0011565,0.0011565,,0.449467479
7,1.4143,1.1265,1.4532,0.63767,0.59155,0.58138,0.30442,1.8658,2.5452,2.0154,0.0013221,0.0013221,0.0013221,,0.613744795
8,1.4185,1.1807,1.5133,0.55431,0.7007,0.67901,0.33225,1.8657,3.4392,2.0957,0.001436,0.001436,0.001436,,0.618967207
9,1.3977,1.0734,1.456,0.4265,0.783,0.6298,0.27218,1.9676,6.0516,2.4256,0.0014029,0.0014029,0.0014029,,0.552210831
10,1.37,1.0837,1.4526,0.58805,0.73046,0.65226,0.30832,1.7747,2.6907,1.9724,0.0013699,0.0013699,0.0013699,,0.65156427
11,1.4343,1.0449,1.4596,0.63354,0.64794,0.71452,0.38686,1.7537,2.2317,1.8858,0.0013369,0.0013369,0.0013369,,0.640659094
12,1.4022,1.0787,1.4627,0.38827,0.59045,0.47377,0.21198,2.1873,2.9766,2.4414,0.0013039,0.0013039,0.0013039,,0.468477239
13,1.3756,1.0115,1.4377,0.63465,0.71312,0.72411,0.37734,1.7516,1.3621,1.8424,0.0012709,0.0012709,0.0012709,,0.671600656
14,1.3577,0.96762,1.4231,0.7705,0.76281,0.81367,0.44518,1.6448,1.1966,1.7261,0.0012379,0.0012379,0.0012379,,0.766635716
15,1.3141,0.92273,1.4015,0.73785,0.67703,0.75249,0.4287,1.6558,1.3107,1.7054,0.0012049,0.0012049,0.0012049,,0.706132796
16,1.3216,0.95857,1.4063,0.73539,0.75466,0.80776,0.46752,1.5714,1.0716,1.6052,0.0011719,0.0011719,0.0011719,,0.744900396
17,1.3038,0.96945,1.4061,0.89385,0.79852,0.90339,0.47566,1.6153,1.2311,1.6606,0.0011389,0.0011389,0.0011389,,0.843500064
18,1.2365,0.85886,1.34,0.8097,0.80655,0.85248,0.47825,1.5627,1.2546,1.6138,0.0011059,0.0011059,0.0011059,,0.80812193
19,1.2302,0.87228,1.3453,0.83902,0.7205,0.82278,0.49821,1.5248,1.1903,1.6179,0.0010729,0.0010729,0.0010729,,0.775256374
20,1.2831,0.97401,1.4009,0.82696,0.91849,0.9139,0.52992,1.5908,0.99714,1.6009,0.0010399,0.0010399,0.0010399,,0.87032512
21,1.2594,0.89585,1.3741,0.8726,0.81134,0.91608,0.51544,1.5085,0.94633,1.5632,0.0010069,0.0010069,0.0010069,,0.840855712
22,1.267,0.88147,1.3806,0.93806,0.81727,0.92664,0.54743,1.4845,0.98536,1.5457,0.00097386,0.00097386,0.00097386,,0.873509022
23,1.2112,0.83933,1.3398,0.914,0.86335,0.93132,0.55097,1.4645,0.85234,1.5506,0.00094085,0.00094085,0.00094085,,0.887953301
24,1.2051,0.84749,1.3389,0.93384,0.81684,0.90893,0.52272,1.5366,0.92718,1.6071,0.00090785,0.00090785,0.00090785,,0.871430376
25,1.1962,0.80255,1.3205,0.88073,0.85472,0.91235,0.5392,1.4639,0.85913,1.5588,0.00087484,0.00087484,0.00087484,,0.867530088
26,1.2078,0.78897,1.3194,0.94635,0.89156,0.94341,0.55503,1.5103,0.83847,1.5881,0.00084184,0.00084184,0.00084184,,0.918138327
27,1.1563,0.7794,1.3088,0.93877,0.91234,0.94529,0.60484,1.3752,0.73858,1.504,0.00080883,0.00080883,0.00080883,,0.925366317
28,1.1504,0.79187,1.3111,0.95285,0.89157,0.93951,0.57106,1.4252,0.78807,1.525,0.00077582,0.00077582,0.00077582,,0.921192
29,1.1333,0.76483,1.2958,0.91419,0.89363,0.93428,0.58014,1.3597,0.75167,1.4799,0.00074282,0.00074282,0.00074282,,0.903793087
30,1.1011,0.72413,1.2761,0.89396,0.89752,0.92634,0.61386,1.3048,0.68947,1.402,0.00070981,0.00070981,0.00070981,,0.895736463
31,1.0994,0.7315,1.2735,0.93979,0.91537,0.95878,0.64161,1.2495,0.68231,1.3684,0.0006768,0.0006768,0.0006768,,0.927419276
32,1.102,0.718,1.2753,0.97072,0.92143,0.95322,0.60053,1.3491,0.70615,1.4664,0.0006438,0.0006438,0.0006438,,0.945433004
33,1.1297,0.70235,1.274,0.94561,0.92275,0.96074,0.61229,1.3379,0.6722,1.4502,0.00061079,0.00061079,0.00061079,,0.93404015
